time in s,CH2 in V
-123.4998E-6,774.2E-3
-123.4998E-6,814.2E-3
-122.9997E-6,774.2E-3
-122.9997E-6,834.2E-3
-122.5000E-6,794.2E-3
-122.5000E-6,834.2E-3
-122.0000E-6,814.2E-3
-122.0000E-6,854.2E-3
-121.5000E-6,814.2E-3
-121.5000E-6,874.2E-3
-121.0000E-6,834.2E-3
-121.0000E-6,874.2E-3
-120.5000E-6,834.2E-3
-120.5000E-6,894.2E-3
-120.0000E-6,854.2E-3
-120.0000E-6,914.2E-3
-119.5000E-6,854.2E-3
-119.5000E-6,914.2E-3
-119.0000E-6,874.2E-3
-119.0000E-6,934.2E-3
-118.5000E-6,874.2E-3
-118.5000E-6,954.2E-3
-118.0000E-6,894.2E-3
-118.0000E-6,954.2E-3
-117.5000E-6,914.2E-3
-117.5000E-6,974.2E-3
-117.0000E-6,934.2E-3
-117.0000E-6,974.2E-3
-116.5000E-6,934.2E-3
-116.5000E-6,994.2E-3
-116.0001E-6,954.2E-3
-116.0001E-6,1.014
-115.5001E-6,974.2E-3
-115.5001E-6,1.014
-115.0001E-6,954.2E-3
-115.0001E-6,1.034
-114.5001E-6,974.2E-3
-114.5001E-6,1.034
-114.0001E-6,994.2E-3
-114.0001E-6,1.054
-113.5001E-6,1.014
-113.5001E-6,1.054
-113.0001E-6,1.014
-113.0001E-6,1.074
-112.5001E-6,1.014
-112.5001E-6,1.074
-112.0001E-6,1.034
-112.0001E-6,1.094
-111.5001E-6,1.054
-111.5001E-6,1.094
-111.0001E-6,1.054
-111.0001E-6,1.114
-110.5001E-6,1.054
-110.5001E-6,1.114
-110.0001E-6,1.074
-110.0001E-6,1.114
-109.5001E-6,1.074
-109.5001E-6,1.134
-109.0001E-6,1.094
-109.0001E-6,1.134
-108.5001E-6,1.094
-108.5001E-6,1.154
-108.0001E-6,1.094
-108.0001E-6,1.154
-107.5001E-6,1.114
-107.5001E-6,1.154
-107.0001E-6,1.114
-107.0001E-6,1.154
-106.5001E-6,1.114
-106.5001E-6,1.174
-106.0001E-6,1.134
-106.0001E-6,1.174
-105.5001E-6,1.134
-105.5001E-6,1.174
-105.0001E-6,1.134
-105.0001E-6,1.194
-104.5001E-6,1.134
-104.5001E-6,1.194
-104.0001E-6,1.154
-104.0001E-6,1.194
-103.5001E-6,1.154
-103.5001E-6,1.194
-103.0001E-6,1.154
-103.0001E-6,1.214
-102.5001E-6,1.154
-102.5001E-6,1.194
-102.0001E-6,1.154
-102.0001E-6,1.214
-101.5002E-6,1.154
-101.5002E-6,1.214
-101.0002E-6,1.154
-101.0002E-6,1.214
-100.5002E-6,1.154
-100.5002E-6,1.214
-100.0002E-6,1.174
-100.0002E-6,1.214
-99.50016E-6,1.154
-99.50016E-6,1.214
-99.00016E-6,1.174
-99.00016E-6,1.214
-98.50018E-6,1.174
-98.50018E-6,1.214
-98.00018E-6,1.174
-98.00018E-6,1.214
-97.50018E-6,1.174
-97.50018E-6,1.214
-97.00018E-6,1.174
-97.00018E-6,1.214
-96.50018E-6,1.174
-96.50018E-6,1.214
-96.00018E-6,1.174
-96.00018E-6,1.214
-95.50020E-6,1.174
-95.50020E-6,1.214
-95.00020E-6,1.174
-95.00020E-6,1.214
-94.50020E-6,1.174
-94.50020E-6,1.214
-94.00020E-6,1.154
-94.00020E-6,1.214
-93.50020E-6,1.154
-93.50020E-6,1.214
-93.00020E-6,1.154
-93.00020E-6,1.214
-92.50022E-6,1.154
-92.50022E-6,1.194
-92.00022E-6,1.154
-92.00022E-6,1.214
-91.50022E-6,1.154
-91.50022E-6,1.194
-91.00022E-6,1.154
-91.00022E-6,1.194
-90.50022E-6,1.154
-90.50022E-6,1.194
-90.00024E-6,1.134
-90.00024E-6,1.194
-89.50024E-6,1.134
-89.50024E-6,1.194
