time in s,CH2 in V
-267.9998E-6,117.0E-3
-267.9998E-6,717.0E-3
-266.9998E-6,317.0E-3
-266.9998E-6,717.0E-3
-265.9998E-6,117.0E-3
-265.9998E-6,717.0E-3
-264.9998E-6,317.0E-3
-264.9998E-6,717.0E-3
-263.9998E-6,317.0E-3
-263.9998E-6,717.0E-3
-262.9997E-6,317.0E-3
-262.9997E-6,717.0E-3
-261.9997E-6,317.0E-3
-261.9997E-6,717.0E-3
-260.9997E-6,317.0E-3
-260.9997E-6,717.0E-3
-259.9997E-6,317.0E-3
-259.9997E-6,917.0E-3
-258.9997E-6,317.0E-3
-258.9997E-6,917.0E-3
-257.9997E-6,317.0E-3
-257.9997E-6,717.0E-3
-256.9997E-6,317.0E-3
-256.9997E-6,917.0E-3
-255.9997E-6,117.0E-3
-255.9997E-6,717.0E-3
-254.9997E-6,317.0E-3
-254.9997E-6,717.0E-3
-253.9997E-6,117.0E-3
-253.9997E-6,717.0E-3
-252.9997E-6,317.0E-3
-252.9997E-6,917.0E-3
-251.9997E-6,117.0E-3
-251.9997E-6,717.0E-3
-250.9997E-6,317.0E-3
-250.9997E-6,717.0E-3
-249.9996E-6,317.0E-3
-249.9996E-6,717.0E-3
-248.9996E-6,317.0E-3
-248.9996E-6,917.0E-3
-247.9996E-6,317.0E-3
-247.9996E-6,717.0E-3
-246.9996E-6,317.0E-3
-246.9996E-6,717.0E-3
-245.9996E-6,317.0E-3
-245.9996E-6,917.0E-3
-244.9996E-6,317.0E-3
-244.9996E-6,717.0E-3
-243.9996E-6,317.0E-3
-243.9996E-6,717.0E-3
-242.9996E-6,117.0E-3
-242.9996E-6,917.0E-3
-241.9996E-6,317.0E-3
-241.9996E-6,717.0E-3
-240.9996E-6,317.0E-3
-240.9996E-6,717.0E-3
-239.9996E-6,317.0E-3
-239.9996E-6,717.0E-3
-238.9996E-6,317.0E-3
-238.9996E-6,717.0E-3
-237.9997E-6,317.0E-3
-237.9997E-6,717.0E-3
-236.9997E-6,317.0E-3
-236.9997E-6,717.0E-3
-235.9997E-6,117.0E-3
-235.9997E-6,717.0E-3
-234.9997E-6,117.0E-3
-234.9997E-6,917.0E-3
-233.9997E-6,317.0E-3
-233.9997E-6,917.0E-3
-232.9997E-6,317.0E-3
-232.9997E-6,717.0E-3
-231.9997E-6,317.0E-3
-231.9997E-6,717.0E-3
-231.0000E-6,317.0E-3
-231.0000E-6,717.0E-3
-230.0000E-6,317.0E-3
-230.0000E-6,717.0E-3
-229.0000E-6,317.0E-3
-229.0000E-6,917.0E-3
-228.0000E-6,317.0E-3
-228.0000E-6,717.0E-3
-227.0000E-6,317.0E-3
-227.0000E-6,717.0E-3
-226.0000E-6,317.0E-3
-226.0000E-6,717.0E-3
-225.0000E-6,317.0E-3
-225.0000E-6,917.0E-3
-224.0000E-6,117.0E-3
-224.0000E-6,717.0E-3
-223.0001E-6,317.0E-3
-223.0001E-6,717.0E-3
-222.0001E-6,117.0E-3
-222.0001E-6,717.0E-3
-221.0001E-6,317.0E-3
-221.0001E-6,717.0E-3
-220.0001E-6,117.0E-3
-220.0001E-6,717.0E-3
-219.0001E-6,317.0E-3
-219.0001E-6,717.0E-3
-218.0001E-6,317.0E-3
-218.0001E-6,717.0E-3
-217.0001E-6,317.0E-3
-217.0001E-6,717.0E-3
-216.0001E-6,317.0E-3
-216.0001E-6,917.0E-3
-215.0001E-6,317.0E-3
-215.0001E-6,717.0E-3
-214.0001E-6,317.0E-3
-214.0001E-6,717.0E-3
-213.0001E-6,317.0E-3
-213.0001E-6,717.0E-3
-212.0001E-6,317.0E-3
-212.0001E-6,917.0E-3
-211.0001E-6,317.0E-3
-211.0001E-6,717.0E-3
-210.0001E-6,317.0E-3
-210.0001E-6,717.0E-3
-209.0001E-6,317.0E-3
-209.0001E-6,717.0E-3
-208.0001E-6,317.0E-3
-208.0001E-6,917.0E-3
-207.0002E-6,317.0E-3
-207.0002E-6,717.0E-3
-206.0002E-6,317.0E-3
-206.0002E-6,717.0E-3
-205.0002E-6,317.0E-3
-205.0002E-6,717.0E-3
-204.0002E-6,317.0E-3
-204.0002E-6,717.0E-3
-203.0002E-6,317.0E-3
-203.0002E-6,717.0E-3
-202.0002E-6,317.0E-3
-202.0002E-6,717.0E-3
-201.0002E-6,317.0E-3
-201.0002E-6,917.0E-3
-200.0002E-6,117.0E-3
-200.0002E-6,717.0E-3
-199.0002E-6,317.0E-3
-199.0002E-6,717.0E-3
-198.0002E-6,317.0E-3
-198.0002E-6,717.0E-3
-197.0002E-6,317.0E-3
-197.0002E-6,717.0E-3
-196.0002E-6,317.0E-3
-196.0002E-6,717.0E-3
-195.0002E-6,117.0E-3
-195.0002E-6,717.0E-3
-194.0002E-6,317.0E-3
-194.0002E-6,917.0E-3
-193.0003E-6,117.0E-3
-193.0003E-6,717.0E-3
-192.0003E-6,317.0E-3
-192.0003E-6,717.0E-3
-191.0003E-6,317.0E-3
-191.0003E-6,717.0E-3
-190.0003E-6,317.0E-3
-190.0003E-6,717.0E-3
-189.0003E-6,317.0E-3
-189.0003E-6,917.0E-3
-188.0003E-6,317.0E-3
-188.0003E-6,717.0E-3
